,CRIME_TYPE,HUNDRED_BLOCK,MONTH,YEAR
4299,Theft of Motor Vehicle,5900 135A ST     ,3,2014
4300,Theft of Motor Vehicle,15400 84TH AVE     ,3,2014
4301,Theft from Motor Vehicle,6400 184A ST     ,3,2014
4302,Theft from Motor Vehicle,6800 KILBURN PL     ,3,2014
4303,Break and Enter - Residence,11800 99TH AVE     ,3,2014
4304,Theft of Motor Vehicle,13300 14A AVE     ,3,2014
4305,Theft of Motor Vehicle,7300 130TH ST     ,3,2014
4306,Theft from Motor Vehicle,7500 123A ST     ,3,2014
4307,Theft from Motor Vehicle,7700 138TH ST     ,3,2014
4308,Theft of Motor Vehicle,8700 162ND ST     ,3,2014
4309,Break and Enter - Residence,16300 87TH AVE     ,3,2014
4310,Break and Enter - Business,8300 128TH ST     ,3,2014
4311,Theft from Motor Vehicle,12900 16TH AVE     ,3,2014
4312,Theft from Motor Vehicle,8700 163RD ST     ,3,2014
4313,Theft from Motor Vehicle,6200 125TH ST     ,3,2014
4314,Theft from Motor Vehicle,12100 100TH AVE     ,3,2014
4315,Break and Enter - Business,15900 FRASER HWY     ,3,2014
4316,Theft from Motor Vehicle,13200 59A AVE     ,3,2014
4317,Theft from Motor Vehicle,16100 SPRINGSIDE CRT     ,3,2014
4318,Break and Enter - Business,19500 92ND AVE     ,3,2014
4319,Theft from Motor Vehicle,6700 145A ST     ,3,2014
4320,Theft from Motor Vehicle,18900 68B AVE     ,3,2014
4321,Theft from Motor Vehicle,9600 154TH ST     ,3,2014
4322,Theft from Motor Vehicle,16000 79TH AVE     ,3,2014
4323,Theft from Motor Vehicle,10800 CITY PKWY     ,3,2014
4324,Theft from Motor Vehicle,17200 64A AVE     ,3,2014
4325,Theft from Motor Vehicle,9900 138TH ST     ,3,2014
4326,Theft from Motor Vehicle,17100 102A AVE     ,3,2014
4327,Break and Enter - Residence,10600 168TH ST     ,3,2014
4328,Theft from Motor Vehicle,10400 148TH ST     ,3,2014
4329,Theft from Motor Vehicle,15400 33A AVE     ,3,2014
4330,Theft of Motor Vehicle,14900 90TH AVE     ,3,2014
4331,Theft from Motor Vehicle,15100 82A AVE     ,3,2014
4332,Theft from Motor Vehicle,12800 85TH AVE     ,3,2014
4333,Break and Enter - Business,19300 96TH AVE     ,3,2014
4334,Theft of Motor Vehicle,12500 90A AVE     ,3,2014
4335,Theft from Motor Vehicle,10200 KING GEORGE BLVD    ,3,2014
4336,Break and Enter - Business,13300 KING GEORGE BLVD    ,3,2014
4337,Theft from Motor Vehicle,19500 FRASER HWY     ,3,2014
4338,Theft of Motor Vehicle,5900 132ND ST     ,3,2014
4339,Theft from Motor Vehicle,6900 150B ST     ,3,2014
4340,Theft from Motor Vehicle,9900 159TH ST     ,3,2014
4341,Theft from Motor Vehicle,14500 62ND AVE     ,3,2014
4342,Break and Enter - Business,13000 84TH AVE     ,3,2014
4343,Theft from Motor Vehicle,10500 171ST ST     ,3,2014
4344,Theft of Motor Vehicle,6900 179A ST     ,3,2014
4345,Theft from Motor Vehicle,7500 125TH ST     ,3,2014
4346,Theft from Motor Vehicle,9300 128TH ST     ,3,2014
4347,Break and Enter - Business,10300 KING GEORGE BLVD    ,3,2014
4348,Theft of Motor Vehicle,1700 141A ST     ,3,2014
4349,Break and Enter - Residence,16900 94A AVE     ,3,2014
4350,Theft of Motor Vehicle,13900 94A AVE     ,3,2014
4351,Theft from Motor Vehicle,1400 129B ST     ,3,2014
4352,Theft of Motor Vehicle,7700 143RD ST     ,3,2014
4353,Theft from Motor Vehicle,12200 63A AVE     ,3,2014
4354,Theft from Motor Vehicle,8800 151ST ST     ,3,2014
4355,Theft of Motor Vehicle,12600 80TH AVE     ,3,2014
4356,Theft of Motor Vehicle,14900 67TH AVE     ,3,2014
4357,Theft from Motor Vehicle,10600 SALISBURY DR     ,3,2014
4358,Theft of Motor Vehicle,13200 99A AVE     ,3,2014
4359,Theft of Motor Vehicle,14400 105A AVE     ,3,2014
4360,Theft from Motor Vehicle,16200 96B AVE     ,3,2014
4361,Theft from Motor Vehicle,13200 81A AVE     ,3,2014
4362,Theft from Motor Vehicle,16200 95A AVE     ,3,2014
4363,Theft from Motor Vehicle,7700 122ND ST     ,3,2014
4364,Theft from Motor Vehicle,13400 80A AVE     ,3,2014
4365,Theft of Motor Vehicle,1800 160TH ST     ,3,2014
4366,Theft from Motor Vehicle,11100 163A ST     ,3,2014
4367,Theft of Motor Vehicle,13000 101B AVE     ,3,2014
4368,Theft from Motor Vehicle,13000 111TH AVE     ,3,2014
4369,Break and Enter - Residence,16400 60TH AVE     ,3,2014
4370,Theft of Motor Vehicle,8900 151ST ST     ,3,2014
4371,Theft from Motor Vehicle,6700 121A ST     ,3,2014
4372,Theft of Motor Vehicle,10500 153RD ST     ,3,2014
4373,Theft from Motor Vehicle,11200 132ND ST     ,3,2014
4374,Theft from Motor Vehicle,12000 75A AVE     ,3,2014
4375,Theft from Motor Vehicle,3100 161ST ST     ,3,2014
4376,Break and Enter - Business,15200 68TH AVE     ,3,2014
4377,Theft from Motor Vehicle,3200 156A ST     ,3,2014
4378,Theft of Motor Vehicle,15800 84TH AVE     ,3,2014
4379,Theft of Motor Vehicle,5600 SUNRISE CRES W    ,3,2014
4380,Theft of Motor Vehicle,6000 181A ST     ,3,2014
4381,Theft from Motor Vehicle,7700 146TH ST     ,3,2014
4382,Fatal/Injury Collision,3900 152ND ST     ,3,2014
4383,Theft from Motor Vehicle,2800 169TH ST     ,3,2014
4384,Theft from Motor Vehicle,9200 158TH ST     ,3,2014
4385,Fatal/Injury Collision,13900 TALLON PL     ,3,2014
4386,Theft from Motor Vehicle,15000 76A AVE     ,3,2014
4387,Theft from Motor Vehicle,7300 129A ST     ,3,2014
4388,Theft from Motor Vehicle,12900 17TH AVE     ,3,2014
4389,Theft from Motor Vehicle,10000 PARK DR     ,3,2014
4390,Theft of Motor Vehicle,10700 142A ST     ,3,2014
4391,Theft of Motor Vehicle,12400 82ND AVE     ,3,2014
4392,Theft of Motor Vehicle,12700 18TH AVE     ,3,2014
4393,Theft from Motor Vehicle,14400 79A AVE     ,3,2014
4394,Theft of Motor Vehicle,6700 147A ST     ,3,2014
4395,Theft from Motor Vehicle,10500 138A ST     ,3,2014
4396,Theft from Motor Vehicle,15200 104TH AVE     ,3,2014
4397,Theft of Motor Vehicle,19500 66TH AVE     ,3,2014
4398,Theft from Motor Vehicle,2400 164TH ST     ,3,2014
4399,Theft from Motor Vehicle,5800 124A ST     ,3,2014
4400,Theft from Motor Vehicle,10700 139TH ST     ,3,2014
4401,Theft from Motor Vehicle,15700 99A AVE     ,3,2014
4402,Theft from Motor Vehicle,10200 155A ST     ,3,2014
4403,Theft from Motor Vehicle,13300 79TH AVE     ,3,2014
4404,Break and Enter - Residence,13800 18A AVE     ,3,2014
4405,Theft from Motor Vehicle,5600 152ND ST     ,3,2014
4406,Theft from Motor Vehicle,10400 148TH ST     ,3,2014
4407,Theft of Motor Vehicle,7500 138TH ST     ,3,2014
4408,Theft from Motor Vehicle,12800 67A AVE     ,3,2014
4409,Theft from Motor Vehicle,14100 103RD AVE     ,3,2014
4410,Theft from Motor Vehicle,3300 148TH ST     ,3,2014
4411,Theft from Motor Vehicle,16400 93A AVE     ,3,2014
4412,Theft of Motor Vehicle,13600 59TH AVE     ,3,2014
4413,Theft from Motor Vehicle,13200 OLD YALE RD    ,3,2014
4414,Theft of Motor Vehicle,13400 83A AVE     ,3,2014
4415,Theft of Motor Vehicle,1900 KING GEORGE BLVD    ,3,2014
4416,Theft from Motor Vehicle,15000 58TH AVE     ,3,2014
4417,Theft of Motor Vehicle,16300 91A AVE     ,3,2014
4418,Theft of Motor Vehicle,1300 161B ST     ,3,2014
4419,Theft from Motor Vehicle,6300 CHARBRAY PL     ,3,2014
4420,Theft from Motor Vehicle,2600 139A ST     ,3,2014
4421,Theft from Motor Vehicle,15100 108TH AVE     ,3,2014
4422,Theft from Motor Vehicle,16100 25TH AVE     ,3,2014
4423,Theft from Motor Vehicle,10400 NEWARK PL     ,3,2014
4424,Theft from Motor Vehicle,15200 81A AVE     ,3,2014
4425,Theft of Motor Vehicle,15700 20TH AVE     ,3,2014
4426,Theft from Motor Vehicle,5800 135A ST     ,3,2014
4427,Theft from Motor Vehicle,5900 176A ST     ,3,2014
4428,Break and Enter - Business,8300 130TH ST     ,3,2014
4429,Theft from Motor Vehicle,8300 130TH ST     ,3,2014
4430,Theft from Motor Vehicle,13700 59A AVE     ,3,2014
4431,Fatal/Injury Collision,14600 16A AVE     ,3,2014
4432,Theft of Motor Vehicle,15000 21B AVE     ,3,2014
4433,Theft of Motor Vehicle,6000 170TH ST     ,3,2014
4434,Theft of Motor Vehicle,15400 100TH AVE     ,3,2014
4435,Theft from Motor Vehicle,17700 68TH AVE     ,3,2014
4436,Theft from Motor Vehicle,8900 160A ST     ,3,2014
4437,Theft of Motor Vehicle,14500 75TH AVE     ,3,2014
4438,Theft from Motor Vehicle,15400 93A AVE     ,3,2014
4439,Theft from Motor Vehicle,7800 122ND ST     ,3,2014
4440,Theft from Motor Vehicle,14800 BLACKBIRD CRES     ,3,2014
4441,Theft of Motor Vehicle,9200 155A ST     ,3,2014
4442,Theft of Motor Vehicle,19400 68TH AVE     ,3,2014
4443,Theft from Motor Vehicle,7000 133B ST     ,3,2014
4444,Break and Enter - Residence,13300 61ST AVE     ,3,2014
4445,Break and Enter - Business,13600 100TH AVE     ,3,2014
4446,Theft from Motor Vehicle,13800 LAUREL DR     ,3,2014
4447,Theft from Motor Vehicle,14900 71A AVE     ,3,2014
4448,Theft of Motor Vehicle,15800 26TH AVE     ,3,2014
4449,Break and Enter - Business,19000 25TH AVE     ,3,2014
4450,Theft from Motor Vehicle,13800 101ST AVE     ,3,2014
4451,Break and Enter - Residence,14000 86A AVE     ,3,2014
4452,Theft from Motor Vehicle,14800 104TH AVE     ,3,2014
4453,Theft from Motor Vehicle,15000 72ND AVE     ,3,2014
4454,Break and Enter - Residence,2500 148A ST     ,3,2014
4455,Break and Enter - Business,5400 125A ST     ,3,2014
4456,Theft from Motor Vehicle,10600 138A ST     ,3,2014
4457,Theft from Motor Vehicle,8100 132A ST     ,3,2014
4458,Theft from Motor Vehicle,10100 177TH ST     ,3,2014
4459,Theft of Motor Vehicle,15500 84TH AVE     ,3,2014
4460,Break and Enter - Residence,18400 68TH AVE     ,3,2014
4461,Theft from Motor Vehicle,18400 68TH AVE     ,3,2014
4462,Break and Enter - Residence,6200 KING GEORGE BLVD    ,3,2014
4463,Theft from Motor Vehicle,9200 PRINCE CHARLES BLVD    ,3,2014
4464,Theft from Motor Vehicle,8500 165TH ST     ,3,2014
4465,Break and Enter - Business,12800 80TH AVE     ,3,2014
4466,Theft from Motor Vehicle,14900 85A AVE     ,3,2014
4467,Theft from Motor Vehicle,9700 186TH ST     ,3,2014
4468,Theft from Motor Vehicle,14400 30TH AVE     ,3,2014
4469,Theft from Motor Vehicle,9800 140TH ST     ,3,2014
4470,Theft from Motor Vehicle,16300 85TH AVE     ,3,2014
4471,Break and Enter - Residence,14800 68TH AVE     ,3,2014
4472,Theft of Motor Vehicle,14900 59A AVE     ,3,2014
4473,Theft of Motor Vehicle,2200 153A ST     ,3,2014
4474,Theft from Motor Vehicle,13500 81ST AVE     ,3,2014
4475,Theft from Motor Vehicle,14800 103A AVE     ,3,2014
4476,Theft from Motor Vehicle,5900 126A ST     ,3,2014
4477,Break and Enter - Residence,13900 104TH AVE     ,3,2014
4478,Theft from Motor Vehicle,13400 BOLIVAR CRES     ,3,2014
4479,Theft from Motor Vehicle,17100 82ND AVE     ,3,2014
4480,Theft from Motor Vehicle,3000 156TH ST     ,3,2014
4481,Theft of Motor Vehicle,8100 144TH ST     ,3,2014
4482,Theft from Motor Vehicle,8000 123RD ST     ,3,2014
4483,Theft from Motor Vehicle,9800 140TH ST     ,3,2014
4484,Theft from Motor Vehicle,17300 103A AVE     ,3,2014
4485,Theft of Motor Vehicle,19300 ENTERPRISE WAY     ,3,2014
4486,Break and Enter - Business,9600 KING GEORGE BLVD    ,3,2014
4487,Theft from Motor Vehicle,9000 155TH ST     ,3,2014
4488,Break and Enter - Business,10500 135A ST     ,3,2014
4489,Theft from Motor Vehicle,9300 164A ST     ,3,2014
4490,Theft from Motor Vehicle,6500 125A ST     ,3,2014
4491,Fatal/Injury Collision,8100 164TH ST     ,3,2014
4492,Theft of Motor Vehicle,15400 98TH AVE     ,3,2014
4493,Theft from Motor Vehicle,6000 176TH ST     ,3,2014
4494,Theft of Motor Vehicle,18300 67TH AVE     ,3,2014
4495,Theft from Motor Vehicle,5800 124A ST     ,3,2014
4496,Theft from Motor Vehicle,7200 125TH ST     ,3,2014
4497,Theft of Motor Vehicle,12300 75TH AVE     ,3,2014
4498,Fatal/Injury Collision,13400 58TH AVE     ,3,2014
4499,Fatal/Injury Collision,7000 177A ST     ,3,2014
4500,Theft from Motor Vehicle,8700 154B ST     ,3,2014
4501,Break and Enter - Residence,10500 168A ST     ,3,2014
4502,Theft from Motor Vehicle,5700 132A ST     ,3,2014
4503,Theft from Motor Vehicle,6500 123A ST     ,3,2014
4504,Theft from Motor Vehicle,6800 143RD ST     ,3,2014
4505,Break and Enter - Business,13500 76TH AVE     ,3,2014
4506,Theft of Motor Vehicle,14900 100TH AVE     ,3,2014
4507,Theft from Motor Vehicle,1700 130TH ST     ,3,2014
4508,Theft from Motor Vehicle,17000 86A AVE     ,3,2014
4509,Theft from Motor Vehicle,6900 193RD ST     ,3,2014
4510,Break and Enter - Residence,10500 UNIVERSITY DR     ,3,2014
4511,Theft from Motor Vehicle,19500 FRASER HWY     ,3,2014
4512,Theft of Motor Vehicle,13000 73A AVE     ,3,2014
4513,Theft of Motor Vehicle,8700 151ST ST     ,3,2014
4514,Theft of Motor Vehicle,12500 90TH AVE     ,3,2014
4515,Theft from Motor Vehicle,14800 103A AVE     ,3,2014
4516,Theft from Motor Vehicle,7300 150A ST     ,3,2014
4517,Break and Enter - Business,10600 124TH ST     ,3,2014
4518,Theft from Motor Vehicle,13300 82B AVE     ,3,2014
4519,Theft from Motor Vehicle,14800 103A AVE     ,3,2014
4520,Theft from Motor Vehicle,15500 24TH AVE     ,3,2014
4521,Theft from Motor Vehicle,15500 92A AVE     ,3,2014
4522,Theft from Motor Vehicle,14300 67A AVE     ,3,2014
4523,Theft of Motor Vehicle,13000 15A AVE     ,3,2014
4524,Theft of Motor Vehicle,15600 106A AVE     ,3,2014
4525,Theft from Motor Vehicle,7200 130TH ST     ,3,2014
4526,Theft from Motor Vehicle,12100 77A AVE     ,3,2014
4527,Theft from Motor Vehicle,12200 80B AVE     ,3,2014
4528,Theft from Motor Vehicle,12200 102ND AVE     ,3,2014
4529,Theft from Motor Vehicle,12200 24TH AVE     ,3,2014
4530,Theft from Motor Vehicle,16600 85A AVE     ,3,2014
4531,Theft from Motor Vehicle,18500 64B AVE     ,3,2014
4532,Theft from Motor Vehicle,8200 151ST ST     ,3,2014
4533,Theft from Motor Vehicle,10700 SCOTT RD     ,3,2014
4534,Theft from Motor Vehicle,2300 124B ST     ,3,2014
4535,Theft of Motor Vehicle,14000 KINDERSLEY DR     ,3,2014
4536,Theft from Motor Vehicle,14800 103A AVE     ,3,2014
4537,Theft from Motor Vehicle,7700 123RD ST     ,3,2014
4538,Theft from Motor Vehicle,18100 66TH AVE     ,3,2014
4539,Shoplifting,7100 KING GEORGE BLVD    ,3,2014
4540,Theft of Motor Vehicle,10600 150TH ST     ,3,2014
4541,Theft from Motor Vehicle,14100 KINDERSLEY DR     ,3,2014
4542,Theft from Motor Vehicle,7100 132ND ST     ,3,2014
4543,Theft from Motor Vehicle,10300 175TH ST     ,3,2014
4544,Theft from Motor Vehicle,13000 14A AVE     ,3,2014
4545,Theft from Motor Vehicle,14000 73RD AVE     ,3,2014
4546,Theft from Motor Vehicle,14100 76TH AVE     ,3,2014
4547,Theft from Motor Vehicle,8700 140B ST     ,3,2014
4548,Break and Enter - Business,12600 72ND AVE     ,3,2014
4549,Theft from Motor Vehicle,12800 56TH AVE     ,3,2014
4550,Fatal/Injury Collision,8600 128TH ST     ,3,2014
4551,Theft of Motor Vehicle,13600 104TH AVE     ,3,2014
4552,Theft of Motor Vehicle,8000 162B ST     ,3,2014
4553,Theft from Motor Vehicle,15500 24TH AVE     ,3,2014
4554,Theft from Motor Vehicle,5800 163B ST     ,3,2014
4555,Theft from Motor Vehicle,7500 144TH ST     ,3,2014
4556,Theft from Motor Vehicle,13900 TALLON PL     ,3,2014
4557,Theft from Motor Vehicle,8300 133RD ST     ,3,2014
4558,Theft from Motor Vehicle,13500 96TH AVE     ,3,2014
4559,Theft from Motor Vehicle,15500 92A AVE     ,3,2014
4560,Break and Enter - Business,19500 TELEGRAPH TR     ,3,2014
4561,Theft from Motor Vehicle,8800 151ST ST     ,3,2014
4562,Theft from Motor Vehicle,9400 157TH ST     ,3,2014
4563,Theft from Motor Vehicle,10300 152ND ST     ,3,2014
4564,Break and Enter - Business,13500 76TH AVE     ,3,2014
4565,Theft from Motor Vehicle,16800 80TH AVE     ,3,2014
4566,Theft from Motor Vehicle,7300 191B ST     ,3,2014
4567,Theft of Motor Vehicle,13000 FAIRFORD PL     ,3,2014
4568,Theft of Motor Vehicle,15800 MCBETH RD     ,3,2014
4569,Theft from Motor Vehicle,3000 156TH ST     ,3,2014
4570,Break and Enter - Residence,7400 138TH ST     ,3,2014
4571,Theft from Motor Vehicle,6300 126TH ST     ,3,2014
4572,Break and Enter - Business,8400 128TH ST     ,3,2014
4573,Theft from Motor Vehicle,8700 160TH ST     ,3,2014
4574,Theft of Motor Vehicle,15800 84TH AVE     ,3,2014
4575,Fatal/Injury Collision,16700 86A AVE     ,3,2014
4576,Theft of Motor Vehicle,16700 63B AVE     ,3,2014
4577,Shoplifting,10100 KING GEORGE BLVD    ,3,2014
4578,Theft from Motor Vehicle,3400 148TH ST     ,3,2014
4579,Theft from Motor Vehicle,13600 108TH AVE     ,3,2014
4580,Theft of Motor Vehicle,6600 120TH ST     ,3,2014
4581,Theft from Motor Vehicle,17800 71A AVE     ,3,2014
4582,Break and Enter - Business,10700 KING GEORGE BLVD    ,3,2014
4583,Theft of Motor Vehicle,8000 157A ST     ,3,2014
4584,Theft of Motor Vehicle,9300 172ND ST     ,3,2014
4585,Theft from Motor Vehicle,10300 152ND ST     ,3,2014
4586,Theft from Motor Vehicle,10700 139TH ST     ,3,2014
4587,Theft from Motor Vehicle,11500 141A ST     ,3,2014
4588,Theft from Motor Vehicle,12800 93RD AVE     ,3,2014
4589,Theft from Motor Vehicle,13300 84TH AVE     ,3,2014
4590,Theft of Motor Vehicle,15400 31ST AVE     ,3,2014
4591,Theft from Motor Vehicle,12300 81A AVE     ,3,2014
4592,Theft of Motor Vehicle,2600 136TH ST     ,3,2014
4593,Theft of Motor Vehicle,8100 123RD ST     ,3,2014
4594,Theft from Motor Vehicle,6800 CLEVEDON DR     ,3,2014
4595,Theft from Motor Vehicle,14800 103A AVE     ,3,2014
4596,Break and Enter - Business,15200 68TH AVE     ,3,2014
4597,Theft of Motor Vehicle,18900 55A AVE     ,3,2014
4598,Break and Enter - Residence,12100 84TH AVE     ,3,2014
4599,Break and Enter - Residence,12900 84TH AVE     ,3,2014
4600,Break and Enter - Residence,15200 104TH AVE     ,3,2014
4601,Theft from Motor Vehicle,15700 CROYDON DR     ,3,2014
4602,Theft from Motor Vehicle,13300 88TH AVE     ,3,2014
4603,Break and Enter - Business,7200 122ND ST     ,3,2014
4604,Theft from Motor Vehicle,9900 138TH ST     ,3,2014
4605,Theft from Motor Vehicle,12500 70A AVE     ,3,2014
4606,Break and Enter - Residence,8300 169A ST     ,3,2014
4607,Theft from Motor Vehicle,9800 138TH ST     ,3,2014
4608,Theft from Motor Vehicle,10400 148TH ST     ,3,2014
4609,Theft from Motor Vehicle,13400 HILTON RD     ,3,2014
4610,Theft of Motor Vehicle,14900 100TH AVE     ,3,2014
4611,Theft from Motor Vehicle,15500 87A AVE     ,3,2014
4612,Theft from Motor Vehicle,13800 101ST AVE     ,3,2014
4613,Theft of Motor Vehicle,13200 19A AVE     ,3,2014
4614,Theft from Motor Vehicle,14700 72ND AVE     ,3,2014
4615,Break and Enter - Business,8000 120TH ST     ,3,2014
4616,Break and Enter - Business,7500 120A ST     ,3,2014
4617,Theft of Motor Vehicle,8800 160A ST     ,3,2014
4618,Theft from Motor Vehicle,14400 30TH AVE     ,3,2014
4619,Break and Enter - Business,13200 KING GEORGE BLVD    ,3,2014
4620,Theft of Motor Vehicle,13200 KING GEORGE BLVD    ,3,2014
4621,Theft of Motor Vehicle,10600 150TH ST     ,3,2014
4622,Break and Enter - Residence,11300 161ST ST     ,3,2014
4623,Theft from Motor Vehicle,13800 56A AVE     ,3,2014
4624,Theft from Motor Vehicle,13300 OLD YALE RD    ,3,2014
4625,Fatal/Injury Collision,7500 132ND ST     ,3,2014
4626,Theft of Motor Vehicle,10000 150TH ST     ,3,2014
4627,Theft from Motor Vehicle,12600 72ND AVE     ,3,2014
4628,Theft from Motor Vehicle,6900 180TH ST     ,3,2014
4629,Theft from Motor Vehicle,7200 189TH ST     ,3,2014
4630,Theft from Motor Vehicle,11200 162ND ST     ,3,2014
4631,Theft from Motor Vehicle,13500 96TH AVE     ,3,2014
4632,Theft from Motor Vehicle,14500 18A AVE     ,3,2014
4633,Theft from Motor Vehicle,18300 HUNTER PL     ,3,2014
4634,Theft from Motor Vehicle,14300 69A AVE     ,3,2014
4635,Break and Enter - Residence,15700 CRANLEY DR     ,3,2014
4636,Theft from Motor Vehicle,15700 CRANLEY DR     ,3,2014
4637,Break and Enter - Residence,5800 126TH ST     ,3,2014
4638,Theft from Motor Vehicle,5900 168A ST     ,3,2014
4639,Theft from Motor Vehicle,8300 134A ST     ,3,2014
4640,Theft from Motor Vehicle,13100 68A AVE     ,3,2014
4641,Theft from Motor Vehicle,16300 92ND AVE     ,3,2014
4642,Fatal/Injury Collision,17000 16TH AVE     ,3,2014
4643,Break and Enter - Residence,10700 KING GEORGE BLVD    ,3,2014
4644,Fatal/Injury Collision,7500 127TH ST     ,3,2014
4645,Theft from Motor Vehicle,13100 106TH AVE     ,3,2014
4646,Theft from Motor Vehicle,13800 100TH AVE     ,3,2014
4647,Break and Enter - Residence,5800 122ND ST     ,3,2014
4648,Theft from Motor Vehicle,7000 MALVERN PL     ,3,2014
4649,Theft from Motor Vehicle,7200 146TH ST     ,3,2014
4650,Theft of Motor Vehicle,15800 102B AVE     ,3,2014
4651,Theft from Motor Vehicle,17300 64A AVE     ,3,2014
4652,Theft of Motor Vehicle,3500 ROSEMARY HEIGHTS CRES    ,3,2014
4653,Theft of Motor Vehicle,8000 162B ST     ,3,2014
4654,Theft of Motor Vehicle,12000 93A AVE     ,3,2014
4655,Theft of Motor Vehicle,14800 108TH AVE     ,3,2014
4656,Theft from Motor Vehicle,15800 98TH AVE     ,3,2014
4657,Theft from Motor Vehicle,7800 148TH ST     ,3,2014
4658,Theft from Motor Vehicle,9600 137A ST     ,3,2014
4659,Break and Enter - Residence,7900 134TH ST     ,3,2014
4660,Theft from Motor Vehicle,16600 85TH AVE     ,3,2014
4661,Theft of Motor Vehicle,9300 148A ST     ,3,2014
4662,Theft from Motor Vehicle,12000 97TH AVE     ,3,2014
4663,Theft from Motor Vehicle,18600 54TH AVE     ,3,2014
4664,Theft of Motor Vehicle,7700 126A ST     ,3,2014
4665,Theft from Motor Vehicle,7800 128TH ST     ,3,2014
4666,Theft of Motor Vehicle,13500 KING GEORGE BLVD    ,3,2014
4667,Theft of Motor Vehicle,19000 62ND AVE     ,3,2014
4668,Theft of Motor Vehicle,10000 156TH ST     ,3,2014
4669,Theft of Motor Vehicle,9800 134TH ST     ,3,2014
4670,Theft from Motor Vehicle,12400 74TH AVE     ,3,2014
4671,Break and Enter - Business,15100 36TH AVE     ,3,2014
4672,Theft from Motor Vehicle,14800 57A AVE     ,3,2014
4673,Theft from Motor Vehicle,14800 104TH AVE     ,3,2014
4674,Fatal/Injury Collision,15000 60TH AVE     ,3,2014
4675,Theft from Motor Vehicle,12400 OCEAN BREEZE PL    ,3,2014
4676,Theft of Motor Vehicle,1800 SOUTHMERE CRES     ,3,2014
4677,Theft of Motor Vehicle,7700 138TH ST     ,3,2014
4678,Theft from Motor Vehicle,12600 88TH AVE     ,3,2014
4679,Shoplifting,18700 FRASER HWY     ,3,2014
4680,Theft of Motor Vehicle,6900 179A ST     ,3,2014
4681,Theft from Motor Vehicle,7300 131A ST     ,3,2014
4682,Theft of Motor Vehicle,15100 91A AVE     ,3,2014
4683,Theft of Motor Vehicle,9200 156A ST     ,3,2014
4684,Shoplifting,14600 66TH AVE     ,3,2014
4685,Shoplifting,14600 104TH AVE     ,3,2014
4686,Theft from Motor Vehicle,15300 28TH AVE     ,3,2014
4687,Theft from Motor Vehicle,15800 84TH AVE     ,3,2014
4688,Theft from Motor Vehicle,1900 152ND ST     ,3,2014
4689,Theft from Motor Vehicle,3000 156TH ST     ,3,2014
4690,Break and Enter - Business,6900 124TH ST     ,3,2014
4691,Break and Enter - Business,7500 120A ST     ,3,2014
4692,Break and Enter - Business,9900 GRACE RD     ,3,2014
4693,Theft from Motor Vehicle,7400 143A ST     ,3,2014
4694,Theft from Motor Vehicle,12400 70A AVE     ,3,2014
4695,Theft from Motor Vehicle,12700 62ND AVE     ,3,2014
4696,Break and Enter - Residence,12300 BOUNDARY DR S    ,3,2014
4697,Theft of Motor Vehicle,14900 57TH AVE     ,3,2014
4698,Fatal/Injury Collision,2200 192ND ST     ,3,2014
4699,Theft from Motor Vehicle,1900 154TH ST     ,3,2014
4700,Break and Enter - Business,7700 128TH ST     ,3,2014
4701,Break and Enter - Business,7700 128TH ST     ,3,2014
4702,Theft from Motor Vehicle,12000 75A AVE     ,3,2014
4703,Theft of Motor Vehicle,13800 102ND AVE     ,3,2014
4704,Theft from Motor Vehicle,15100 83A AVE     ,3,2014
4705,Fatal/Injury Collision,4700 152ND ST     ,3,2014
4706,Break and Enter - Residence,16200 86B AVE     ,3,2014
4707,Shoplifting,8900 152ND ST     ,3,2014
4708,Theft of Motor Vehicle,9200 134A ST     ,3,2014
4709,Theft from Motor Vehicle,16300 GLENWOOD CRES N    ,3,2014
4710,Break and Enter - Business,7500 KING GEORGE BLVD    ,3,2014
4711,Theft of Motor Vehicle,9800 150TH ST     ,3,2014
4712,Break and Enter - Business,11800 99TH AVE     ,3,2014
4713,Theft from Motor Vehicle,2200 148TH ST     ,3,2014
4714,Theft from Motor Vehicle,5800 188A ST     ,3,2014
4715,Theft from Motor Vehicle,2500 161A ST     ,3,2014
4716,Theft from Motor Vehicle,7900 138A ST     ,3,2014
4717,Shoplifting,8900 152ND ST     ,3,2014
4718,Theft from Motor Vehicle,19200 LANGLEY BPS     ,3,2014
4719,Theft from Motor Vehicle,7000 125A ST     ,3,2014
4720,Theft from Motor Vehicle,14900 100TH AVE     ,3,2014
4721,Theft of Motor Vehicle,15000 92ND AVE     ,3,2014
4722,Theft from Motor Vehicle,10000 WHALLEY BLVD     ,3,2014
4723,Break and Enter - Business,6200 121ST ST     ,3,2014
4724,Theft from Motor Vehicle,17400 57TH AVE     ,3,2014
4725,Theft from Motor Vehicle,5800 123A ST     ,3,2014
4726,Theft from Motor Vehicle,8300 164TH ST     ,3,2014
4727,Theft from Motor Vehicle,10400 152ND ST     ,3,2014
4728,Theft from Motor Vehicle,3300 155B ST     ,3,2014
4729,Theft from Motor Vehicle,9400 154TH ST     ,3,2014
4730,Break and Enter - Business,9800 138TH ST     ,3,2014
4731,Theft from Motor Vehicle,10200 128TH ST     ,3,2014
4732,Break and Enter - Residence,5800 126TH ST     ,3,2014
